지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C)
106,동해,2019-12,4.9,9.1,1018,1023,4.2,47,8.8,1.9,3.6,1.9,191.9,64.25,,3.1
106,동해,2020-01,4.2,7.6,1016.7,1021.7,4.6,55,97.9,2.4,4.8,3.2,158.2,51.5,,2.9
106,동해,2020-02,4.6,8.7,1017.5,1022.6,4.9,55,73.7,2.3,4.2,2.6,174.9,57.7,,4.8
106,동해,2020-03,7.9,12.1,1011.1,1016.1,6.3,59,48.3,2.6,3.9,1.9,253,68.12,,10.8
106,동해,2020-04,10.9,15.5,1010.7,1015.6,6.6,52,50.9,2.5,4.1,2,253.6,64.11,,14.8
106,동해,2020-05,16.3,20.4,1004.9,1009.7,12.5,70,90.3,2.2,5.8,2.8,223.9,50.82,,21.4
106,동해,2020-06,20.8,25,1001,1005.7,17.9,75,120.4,1.8,5.6,2.3,241.1,54.57,,29
106,동해,2020-07,20.2,23,1003.1,1007.8,20.8,89,346.1,1.6,6.9,3.7,149.8,33.42,,26.2
106,동해,2020-08,24.4,28,1003.7,1008.3,25.8,86,171.9,1.3,7.3,3.4,143.6,34.13,,29.5
106,동해,2020-09,19.3,22.5,1007.3,1012,17.5,79,304,2.4,6,3.3,170.6,45.8,,23.5
106,동해,2020-10,13.8,18.1,1014.9,1019.8,10.3,65,5.1,1.9,4.5,2.1,210.3,60.45,,17.6
106,동해,2020-11,10.1,14.5,1017.7,1022.7,6.6,50,11.5,2,3.8,2,191.4,62.69,,9.9
106,동해,2020-12,2.7,7.1,1018.2,1023.3,2.9,37,2.3,2.4,2.5,.9,216.6,72.51,,.8
106,동해,2021-01,.6,5.1,1017.1,1022.2,3.1,42,2.7,2.5,3.3,1.3,203.3,66.07,,-.6
106,동해,2021-02,4.6,9.3,1013.7,1018.7,4.3,47,.9,2.5,3.7,1.2,205.7,67.91,,5.6
106,동해,2021-03,8.6,12.8,1014.1,1019.1,6.8,63,99.8,2.1,5,2.7,207.7,55.94,,10.2
106,동해,2021-04,11.9,16,1013.4,1018.3,8.5,62,80.3,2.3,4.9,2,229.9,58.13,,16.7
106,동해,2021-05,15.8,19.8,1003.5,1008.3,11.3,65,116.9,2.1,5.7,2.7,220.6,50.11,,20
106,동해,2021-06,19.8,23.3,1003.6,1008.3,18.9,83,40.6,1.5,6.3,3.3,187.4,42.43,,25.9
106,동해,2021-07,24.6,28.2,1004.5,1009.1,27.5,89,110.8,1.2,5.6,2.1,259.9,57.95,,32.5
106,동해,2021-08,23.8,27.2,1004.4,1009,25.3,86,423.3,1.6,7.5,3.7,108.3,25.72,,27
106,동해,2021-09,20.8,24.2,1010,1014.7,20.2,84,176.8,1.6,6,3.2,169.1,45.35,,24.1
106,동해,2021-10,15.8,20.2,1016.1,1021,13.9,76,150.5,1.8,5.6,3.7,164.6,47.27,,17
106,동해,2021-11,10.9,15.5,1012.7,1017.6,7.3,54,7.6,2.1,3.3,1.5,213.2,69.81,,9.1
106,동해,2021-12,4.8,9.1,1016.9,1022,4.3,46,34.4,2.4,3.1,1.8,213.4,71.44,,3.2
106,동해,2022-01,2.1,6,1017.5,1022.6,3.4,47,10.8,2.2,3.4,1.8,222.6,72.37,,.9
106,동해,2022-02,2.4,6.9,1017.7,1022.8,2.9,38,.8,2.7,2.5,1,237,78.3,,2.8
108,서울,2018-01,-4,.1,1013.5,1024.6,2.5,48,8.5,1.9,4.3,2.7,186.7,65.01,158.99,-2.8
108,서울,2018-02,-1.6,3.3,1012.8,1023.8,2.6,45,29.6,2.2,3.9,2.2,194.2,66.53,309.28,-1.1
108,서울,2018-03,8.1,13.6,1009.9,1020.3,6.6,59,49.5,1.9,5.2,4.1,209.1,56.38,446.41,8.4
108,서울,2018-04,13,18.5,1005.4,1015.6,8,55,130.3,2,4.7,3.3,223.4,56.54,513.19,14.5
108,서울,2018-05,18.2,23.3,1001.3,1011.2,13.1,63,222,1.7,5.4,3.5,231.6,52.66,561.24,21.1
108,서울,2018-06,23.1,28.4,997.8,1007.6,17.3,63,171.5,1.7,5.9,3,236.6,53.51,602.59,27.9
108,서울,2018-07,27.8,32.1,998.9,1008.5,24.6,68,185.6,1.5,5.1,3.7,228.5,52.64,561.1,31.3
108,서울,2018-08,28.8,33.3,997.4,1007,24.9,65,202.6,1.7,5.8,3.7,232.5,55.19,517.16,31.8
108,서울,2018-09,21.5,26,1003.3,1013.2,15.4,61,68.5,1.6,5.1,3,218.7,58.6,470.96,23.5
108,서울,2018-10,13.1,18.6,1008.6,1018.9,8.9,59,120.5,1.5,3.7,2,241.9,69.43,403.34,14
108,서울,2018-11,7.8,13.2,1013.1,1023.7,6.3,58,79.1,1.4,4,2.4,177.6,58.13,265.35,7.1
108,서울,2018-12,-.6,4.1,1016.8,1027.8,3.1,46,16.4,1.8,3.8,2.3,199.9,66.92,253.64,0
108,서울,2019-01,-.9,4.1,1015.4,1026.4,2.7,46,0,1.8,3.1,1.9,215,70.01,285.25,-.4
108,서울,2019-02,1,6,1013.7,1024.5,3.2,47,23.8,1.8,4.8,2.7,190.5,62.98,319.96,1.6
108,서울,2019-03,7.1,12.4,1006.6,1017.1,5.1,51,26.8,2.1,4.7,3.2,203.8,54.99,417.72,8.2
108,서울,2019-04,12.1,17.6,1004.8,1015.1,7.2,51,47.3,1.9,4.9,2.9,221.6,56.13,502.12,14
108,서울,2019-05,19.4,25.6,1001.6,1011.5,10.2,47,37.8,2.1,3.8,1.2,314,71.4,701.39,24.3
108,서울,2019-06,22.5,27.7,997.2,1007,16.1,61,74,1.7,5.4,3.4,235.1,53.18,589.02,26.5
108,서울,2019-07,25.9,30.1,996.2,1005.9,22.6,69,194.4,1.8,7.2,5.3,150.1,33.44,426.99,28.4
108,서울,2019-08,27.2,31.6,996.9,1006.6,24.2,69,190.5,1.6,5.6,3.5,239.3,58.59,486.24,28.9
108,서울,2019-09,22.6,27.1,1004.7,1014.6,17.8,65,139.8,2.2,6.6,3.9,168.9,45.22,386.78,24
108,서울,2019-10,16.4,21.8,1008.8,1018.9,11.7,62,55.5,2.1,4.2,2.6,236.5,67.8,395.43,17.1
108,서울,2019-11,7.6,12.9,1012.2,1022.7,6.1,56,78.8,2.2,4.1,2.3,203.2,66.45,284.28,7.6
108,서울,2019-12,1.4,5.3,1014.9,1025.8,4.2,58,22.6,2.1,4.4,3.4,164.2,54.93,223.25,1.6
108,서울,2020-01,1.6,5.9,1012.8,1023.6,3.9,56,60.5,2.1,4.8,2.8,177.9,57.93,252.58,1
108,서울,2020-02,2.5,7.2,1014,1024.8,4.6,58,53.1,2.3,4.7,3.6,185,58.99,313.44,3.1
108,서울,2020-03,7.7,13.3,1007.1,1017.6,4.8,46,16.3,2.5,3.4,2,262.9,70.77,515.18,8.9
108,서울,2020-04,11.1,16.6,1006.7,1017,6.6,50,16.9,3,3.1,1.7,283.3,71.59,637.52,15.4
108,서울,2020-05,18,23.3,1000.1,1010.1,13.5,67,112.4,2.4,6.3,4.3,177.9,40.38,564.83,21.4
108,서울,2020-06,23.9,29,996.2,1005.9,19.4,68,139.6,2.3,5.9,3.4,206.1,46.62,603.98,28.7
108,서울,2020-07,24.1,28,996.9,1006.7,22.7,77,270.4,2.4,7.5,5,119.4,26.62,464.55,25.8
108,서울,2020-08,26.5,29.3,998.6,1008.3,29.2,85,675.7,2.3,8.1,6.2,74.7,17.76,325.97,27
108,서울,2020-09,21.4,25.6,1001.9,1011.8,17.9,71,181.5,2.5,5.8,3.4,174.3,46.77,452.05,22.4
108,서울,2020-10,14.3,19.5,1010.5,1020.7,10,61,0,2.1,3.7,1.5,227.1,65.3,428.25,14.4
108,서울,2020-11,8,12.6,1014.5,1025.1,7.4,64,120.1,2.2,4.1,2.9,171.5,56.17,281.51,8.1
108,서울,2020-12,-.3,3.9,1015.9,1026.8,3.7,58,4.6,2.2,3.3,2.2,203.6,68.16,276.39,-.4
108,서울,2021-01,-2.4,2.2,1013.9,1024.9,3.4,58,18.9,2.5,3.9,2.6,176.4,59.25,270.25,-2
108,서울,2021-02,2.7,7.9,1010.7,1021.5,4.4,56,7.1,2.6,4,2.5,181,59.74,348.55,2.3
108,서울,2021-03,9,14.8,1009.2,1019.7,7,63,110.9,2.4,4.7,2.6,213,57.37,476.94,9.7
108,서울,2021-04,14.2,19.5,1007.9,1018.1,8.4,54,124.1,2.6,4.8,3,208.6,52.74,558.28,15.7
108,서울,2021-05,17.1,21.9,998.9,1008.9,13,68,183.1,2.4,5.6,3.3,203.7,46.25,570.5,18.8
108,서울,2021-06,22.8,27.6,997.7,1007.5,19.8,73,104.6,2.2,5.6,3.3,185.5,41.96,563.35,25.2
108,서울,2021-07,28.1,32.2,998.1,1007.7,26.4,71,168.3,2,5.9,3.6,195.2,43.51,578.3,29.7
108,서울,2021-08,25.9,29.7,998.6,1008.2,24.3,74,211.2,2.1,7,3.9,127.3,30.24,428.88,28.2
108,서울,2021-09,22.6,26.9,1003.4,1013.3,19,71,131,2.3,5.4,3.1,182,48.82,474.13,24.6
108,서울,2021-10,15.6,20.5,1011,1021.2,13.1,70,57,2.1,4.7,3.1,168.4,48.38,353.62,16.7
108,서울,2021-11,8.2,13.1,1009.1,1019.6,7.6,68,62.4,2.1,4.2,2.7,163.6,53.57,271.64,7.9
108,서울,2021-12,.6,5.1,1014.4,1025.2,4.4,62,7.9,2.3,3.2,2.2,185.4,62.07,257.25,.8
108,서울,2022-01,-2.2,2.6,1014.3,1025.2,3,55,5.5,2.2,3.1,1.9,206.9,67.35,301.7,-1.6
108,서울,2022-02,-1.1,3.8,1014.9,1025.9,3.3,55,4.7,2.6,3.2,1.7,203.8,67.33,376.05,.8
112,인천,2018-01,-3.8,-.6,1015.7,1024.5,2.9,56,4.5,3.5,4.3,2.4,208.9,67.89,168.8,-2.5
112,인천,2018-02,-1.8,2,1015,1023.7,3.1,54,27,3.6,3.9,1.9,219.2,72.41,237.67,-.8
112,인천,2018-03,6.9,11.1,1011.9,1020.4,7.2,71,78.6,3.3,5.5,4.1,204.7,55.19,440.44,7.7
112,인천,2018-04,11.9,16.3,1007.3,1015.6,8.9,64,112.2,3.4,4.9,3.3,221.1,55.97,515.49,12.4
112,인천,2018-05,17,21.1,1003.2,1011.3,13.7,72,158.9,3,5.6,3.4,221.9,50.47,566.66,18.4
112,인천,2018-06,21.2,25.4,999.8,1007.8,18.9,76,144,2.3,6.4,3.5,224.6,50.87,603.83,24.5
112,인천,2018-07,26.6,30.2,1000.7,1008.5,26.5,77,148.8,2.6,4.9,3.2,279.3,62.27,636.55,30
112,인천,2018-08,28.1,31.5,999.2,1007,27.1,73,214.9,3,5.7,3.5,255.5,60.66,571.02,32.8
112,인천,2018-09,21.6,25,1005.2,1013.1,16.7,65,46.1,3,5.2,2.9,219.2,58.75,458.46,22.4
112,인천,2018-10,13.8,17.7,1010.6,1018.8,9.7,61,116.2,2.9,3.8,1.9,257.2,73.8,408.47,13.8
112,인천,2018-11,8.5,12.1,1015.1,1023.6,7.3,63,66.6,2.6,4.2,2.4,192.4,62.94,269.32,7.1
112,인천,2018-12,-.2,3.4,1018.9,1027.7,3.6,52,16.6,3.6,3.9,2,211.5,70.78,259.01,-.4
112,인천,2019-01,-.5,3.3,1017.6,1026.4,3.4,55,.7,3,3.1,1.8,220.9,71.81,291.36,-1.3
112,인천,2019-02,.8,4.8,1015.9,1024.6,3.8,56,26.6,2.9,5,2.7,198.1,65.49,328.69,1
112,인천,2019-03,6.4,10.5,1008.8,1017.3,6,63,28.4,3.3,4.9,3,224.6,60.59,453.57,7.2
112,인천,2019-04,11.3,15.7,1006.9,1015.2,8.4,63,41.1,2.9,5.2,2.8,223.1,56.51,511.07,12.7
112,인천,2019-05,17.6,22.3,1003.7,1011.7,12.2,61,33.2,3,3.9,1.1,308.6,70.18,713.07,21.7
112,인천,2019-06,21.3,25.2,999.2,1007.2,18.1,73,49.7,2.6,5.5,3.1,253.3,57.37,626.58,25.3
112,인천,2019-07,25,28.1,998.1,1005.9,24.8,80,220.8,2.9,7.2,5.3,180.2,40.16,493.32,27.5
112,인천,2019-08,26.9,30.3,998.8,1006.6,26,74,143.7,2.7,5.6,3.2,278.8,66.18,585.4,28.2
112,인천,2019-09,22.5,26,1006.5,1014.4,19.5,71,229,2.8,6.6,3.8,168.6,45.14,383.89,22.6
112,인천,2019-10,16.8,20.8,1010.6,1018.8,12.7,65,31.9,2.8,4.3,2.5,242.6,69.55,390.86,16.7
112,인천,2019-11,8.2,12.3,1014.2,1022.6,6.8,59,89.4,3,4.2,2.3,205.3,67.14,281.41,7.6
112,인천,2019-12,2,5.4,1016.9,1025.7,4.7,62,25,3.4,4.5,3.2,168.8,56.47,220.73,1.5
112,인천,2020-01,1.8,5,1014.9,1023.5,4.5,63,48.6,3,5,2.6,194.6,63.35,260.57,1.2
112,인천,2020-02,2.5,6.2,1016.1,1024.8,5,65,49.7,3.1,4.6,3.4,200.7,63.98,319.64,2.7
112,인천,2020-03,7.1,11.2,1009.3,1017.8,5.7,57,10.7,3.6,3.8,2.2,271.7,73.16,522.86,7.5
112,인천,2020-04,10.4,14.3,1008.8,1017.1,7.1,57,13.8,3.9,2.9,1.3,316.7,80.06,647.34,13.3
112,인천,2020-05,16.7,20.7,1002,1010,13.2,71,101.2,2.7,6.6,4.6,212.8,48.31,555.06,18.9
112,인천,2020-06,21.8,25.8,998.2,1006.1,19.7,77,100.2,2.6,6.1,3.4,238.2,53.95,598.68,25
112,인천,2020-07,23.2,26.2,998.6,1006.4,22.4,80,243.5,2.7,7.5,4.7,173.5,38.72,480.6,24.6
112,인천,2020-08,25.9,28.1,1000.2,1008,27.6,84,486.4,3.1,8.1,5.9,129.8,30.87,382.07,27.2
112,인천,2020-09,21.3,24.6,1003.9,1011.8,17.6,69,167.7,3.3,5.7,2.9,220.5,59.19,450.89,21.8
112,인천,2020-10,14.8,18.4,1012.4,1020.6,9.9,58,1.9,2.8,4.1,1.4,250.7,72.06,408.84,15.2
112,인천,2020-11,8.3,11.8,1016.5,1024.9,7.4,62,81.6,3.1,4.2,3,186.4,61.05,263.68,7.6
112,인천,2020-12,.2,3.6,1017.9,1026.7,3.8,56,6.6,3.2,3.5,2.2,220.9,73.95,264.22,-.1
112,인천,2021-01,-2,1.8,1015.9,1024.7,3.3,55,20.8,3.4,4.1,2.6,199.5,64.84,269.39,-1.7
112,인천,2021-02,2.1,6.3,1012.8,1021.5,4.4,57,6.6,3.6,4,2.4,197.3,65.14,334.51,2.3
112,인천,2021-03,7.7,12.3,1011.3,1019.7,6.7,65,93.4,2.8,4.9,2.7,228.4,61.51,455.93,8.6
112,인천,2021-04,13.2,17.3,1009.9,1018.1,7.9,55,116.9,3.2,4.9,3.1,233.8,59.14,547.8,14.5
112,인천,2021-05,16.2,20.2,1000.8,1008.9,11.8,66,191.5,3,5.6,3.2,240.1,54.56,571.02,17.9
112,인천,2021-06,21.6,25.3,999.6,1007.5,17.4,69,45.4,2.4,6,3.4,232.7,52.71,580.67,24.6
112,인천,2021-07,27.2,30.4,1000,1007.8,23.1,65,84.2,2.2,5.6,2.9,270.1,60.25,623.39,31.1
112,인천,2021-08,25.5,28.6,1000.4,1008.3,21.7,68,269,2.5,6.7,3.3,186.2,44.22,461.24,28.3
112,인천,2021-09,22.7,26.1,1005.3,1013.2,17,63,125.8,2.8,5.5,3.3,211,56.58,445.86,23.1
112,인천,2021-10,16,19.6,1013,1021.2,12.1,62,31.6,2.6,4.7,3,201.2,57.77,354.86,16.3
112,인천,2021-11,8.8,12.6,1011.2,1019.6,7.4,63,79,2.9,4.3,2.9,180.7,59.17,253.12,7.9
112,인천,2021-12,1.3,5.1,1016.5,1025.2,4.1,56,7.6,3.3,3.1,2.1,192.3,64.38,248.45,.6
112,인천,2022-01,-2.2,1.7,1016.4,1025.3,2.9,54,4.4,2.9,3.2,1.7,213.5,69.39,306.16,-1.9
112,인천,2022-02,-1.3,2.4,1017.2,1026,3.4,57,2.7,3.3,2.9,1.4,215.5,71.19,371.2,-.5
114,원주,2018-01,-3.8,.6,1005.1,1024.1,2.7,54,4.4,.9,,,189,61.36,300.19,-2.8
114,원주,2018-02,-1.6,3.7,1004.5,1023.3,2.5,45,27.4,1,,,189.8,62.6,341.03,-1.5
114,원주,2018-03,8.2,13.7,1002,1020.1,6.1,56,53.6,1.3,,,196.9,53.09,466.11,7.7
114,원주,2018-04,13.2,19.5,997.7,1015.4,7.6,53,112.6,1.4,,,202.9,51.38,527.96,14
114,원주,2018-05,17.9,23.6,993.9,1011.2,12.6,63,211.3,1.2,,,201,45.74,581.54,19.5
114,원주,2018-06,23,28.4,990.5,1007.4,15.8,58,131.8,1.2,,,231.1,52.45,622.92,27.2
114,원주,2018-07,27.1,31.8,991.8,1008.5,23,66,122.5,1.1,,,247.9,55.31,636.31,30.6
114,원주,2018-08,27.4,32.4,990.4,1007.1,23.1,65,258.2,1.3,6.3,2.7,200.3,47.58,530.89,32
114,원주,2018-09,19.9,25,996.2,1013.3,15.3,67,147.6,1,5.6,3,189.2,50.72,459.98,21.7
114,원주,2018-10,11.6,17.3,1001.1,1019,9.2,69,89.5,.8,4.6,2.2,206.2,59.13,394.26,12.3
114,원주,2018-11,6.8,12.5,1005.5,1023.8,6.6,67,45,.6,4.3,2.4,173.7,56.75,270.77,5.4
114,원주,2018-12,-1.1,3.9,1008.6,1027.5,3.5,56,25.3,.8,4.2,2.2,185.9,62.17,255.78,-1.7
114,원주,2019-01,-1.6,3.9,1007.2,1026.1,2.6,49,.7,.8,3.2,.9,229.3,74.47,305.71,-3.4
114,원주,2019-02,1.3,6.3,1005.4,1024.1,3.5,52,25.4,.9,5,2.7,188.9,62.41,327.85,.5
114,원주,2019-03,6.9,12.6,998.7,1016.9,5,53,42.8,1.2,4.9,2.6,189,51.03,422.92,5.8
114,원주,2019-04,11.9,17.9,997.1,1014.9,7.1,52,45.7,1.2,5.2,2.8,194.4,49.28,502.87,12
114,원주,2019-05,19.2,25.9,994.1,1011.3,9.5,45,10.4,1.3,4,.9,303.3,69.06,725.51,22
114,원주,2019-06,22.1,27.5,989.8,1006.9,15.5,60,67.9,1,5.4,2.4,225.7,51.24,631.65,26.3
114,원주,2019-07,25.2,29.7,989.2,1006.1,21.4,68,137.1,1.1,6.8,4,142.4,31.76,481.33,27.9
114,원주,2019-08,26.2,31,989.9,1006.8,22.5,68,142.4,1.1,6.1,2.5,228.7,54.28,560.89,27.8
114,원주,2019-09,21.4,26.2,997.6,1014.9,17.8,71,171.1,.9,7.1,3.5,134.9,36.12,391.35,22.9
114,원주,2019-10,14.9,20.3,1001.3,1019.1,11.6,68,40.3,.8,5.5,2.5,191.9,55,378.77,15.9
114,원주,2019-11,7.1,13.1,1004.4,1022.9,6.6,64,74,.8,4.5,2,182.9,59.71,283.88,6.3
114,원주,2019-12,.9,5.4,1007,1025.9,4.4,64,14.1,.8,4.6,2.6,147.9,49.45,216.06,.4
114,원주,2020-01,1.2,6,1004.8,1023.6,4.3,64,58.7,.8,5.3,2.9,161.6,52.57,249.97,0
114,원주,2020-02,2.5,7.5,1005.9,1024.7,4.5,60,65.5,1,4.3,2.9,177.6,56.6,324.76,2.8
114,원주,2020-03,7.8,13.9,999.1,1017.3,5,50,21.2,1.2,4,2.3,240.6,64.75,506.23,7.9
114,원주,2020-04,11,17.2,998.7,1016.8,5.4,44,15.7,1.5,3.4,1.1,270.8,68.47,608.15,13.4
114,원주,2020-05,18.2,23.5,992.6,1010,12,60,80,1.2,6.1,3.2,209.3,47.57,585.48,20.8
114,원주,2020-06,24.1,29.2,988.8,1005.7,17,59,49.6,1.3,6,2.5,214.1,48.59,579.8,29.5
114,원주,2020-07,23.7,27.9,989.6,1006.6,20,70,204.7,1.1,7.7,3.7,118.1,26.37,427.53,26.7
114,원주,2020-08,26.1,30,991.7,1008.6,26.5,79,634,.9,7.4,4.3,110.6,26.31,389.81,27.8
114,원주,2020-09,19.9,24.7,994.7,1012,16.8,73,148.9,1.1,6.3,2.9,174,46.72,427.17,22.7
114,원주,2020-10,12.7,18.9,1002.8,1020.8,9.7,66,11.3,.8,4,1.5,229.7,66.01,427.67,15.6
114,원주,2020-11,7.3,12.7,1006.6,1025,6.6,62,23.6,.9,4.1,2.2,176.4,57.76,281.43,7.4
114,원주,2020-12,-1.4,3.6,1007.6,1026.7,3.4,59,3.8,.8,3.6,2,196.7,65.79,263.69,-.7
114,원주,2021-01,-2.9,2.7,1005.8,1025,3.4,61,8.4,.9,4.1,2,184.1,59.75,280.29,-2.3
114,원주,2021-02,2.5,8.3,1002.6,1021.3,3.9,51,4.2,1.2,3.7,1.8,195.1,64.33,346.81,1.9
114,원주,2021-03,8.8,14.8,1001.4,1019.6,6.2,58,73.2,1.2,4.7,2.3,214.5,57.77,462.9,8.9
114,원주,2021-04,13.8,19.6,1000.3,1018.1,7.4,50,88.9,1.4,4.8,2.3,220.9,55.87,550.1,15.2
114,원주,2021-05,16.5,21.9,991.5,1009,12.1,66,142.7,1.1,5.8,2.8,200.6,45.63,543.93,18.9
114,원주,2021-06,22.3,27.3,990.6,1007.7,17.9,68,133,1.1,6.2,2.6,205.5,46.65,592.1,25.7
114,원주,2021-07,26.7,31.7,991.3,1008.2,24.3,71,199.8,1,6,2.3,238.2,53.17,628.49,30.6
114,원주,2021-08,24.6,29,991.7,1008.7,22.5,74,172.9,1,7.4,3.1,141.5,33.64,455.88,28
114,원주,2021-09,21.1,25.9,996.5,1013.8,17.8,73,183.5,.9,6.2,2.8,168.8,45.28,433.79,24.2
114,원주,2021-10,14.4,19.8,1003.7,1021.6,12.6,73,45.6,.7,5.1,2.5,172.5,49.54,358.03,16.2
114,원주,2021-11,7.3,12.8,1001.6,1020,6.9,67,55.9,.9,4.4,2.3,168.2,55.02,264.99,6.8
114,원주,2021-12,.3,5,1006.3,1025.3,4.2,61,4.9,1,3.4,2.2,176.4,59,249.55,-.1
114,원주,2022-01,-2.4,2.8,1006.1,1025.3,3,58,.8,.8,3.2,1.6,208.2,67.6,302.73,-3.4
114,원주,2022-02,-1.1,4.3,1006.7,1025.8,2.8,48,6.8,1.3,3.2,1.2,219.4,72.36,376.09,-.9
115,울릉도,2018-01,.4,3,992.1,1019.9,4.2,64,85.9,3.2,7.3,6.3,113.3,36.83,124.06,1
115,울릉도,2018-02,.7,3.9,992.6,1020.4,4.2,64,128.6,4.3,6.6,5.3,159.2,52.59,196.58,.7
115,울릉도,2018-03,6.9,10.6,992.4,1019.5,6.3,64,141.3,5.8,4.8,3.6,215.8,58.18,310.28,8
115,울릉도,2018-04,11.9,15.6,988.3,1014.8,8,60,150,4.7,4.7,2.7,235.4,59.59,373.86,14.1
115,울릉도,2018-05,15.6,19.1,985.2,1011.2,12.8,73,131.6,4.7,6.2,4.1,233.4,53.08,407.36,19
115,울릉도,2018-06,19.8,22.9,982.7,1008.2,16.6,72,65,4.5,6.5,3.5,210.4,47.67,386.07,25.1
115,울릉도,2018-07,25,27.6,984.2,1009.2,23.8,76,184.9,4,5.3,3.4,240.9,53.72,415.79,30.5
115,울릉도,2018-08,25.4,28.2,983.5,1008.5,24.3,75,79.7,3.3,6.4,4.2,236.7,56.18,371.9,32.1
115,울릉도,2018-09,20.2,22.5,987.9,1013.5,17.3,73,83,3.8,7,4.4,164.4,44.06,265.22,22.4
115,울릉도,2018-10,14.8,17.8,991.1,1017.4,10.7,62,260.9,3.8,5.7,4.3,209,59.99,255.92,16
115,울릉도,2018-11,10.7,13.8,995.4,1022.2,7.7,58,42.9,3.4,5.3,4.1,166.5,54.48,174.4,10.1
115,울릉도,2018-12,4.3,6.7,996.1,1023.6,5.7,65,232.6,3.5,7.6,6.1,104.9,35.12,110.01,3.9
115,울릉도,2019-01,3.4,6.4,994.3,1021.9,4.4,57,57.2,3.4,6.3,5.3,175,56.93,167.76,2.3
115,울릉도,2019-02,3.9,6.9,994.3,1021.8,5.4,66,96.6,3.6,6.5,5,149.8,49.5,187.03,3.6
115,울릉도,2019-03,8,11.8,988.4,1015.2,6.6,61,91.3,4,5.9,4.2,229.2,61.85,319.68,9.5
115,울릉도,2019-04,10.5,14.2,988.1,1014.8,8.3,65,76.4,4.2,5.1,3,235.5,61.73,379.61,13.9
115,울릉도,2019-05,18.4,22.6,985.3,1011,11.4,55,19,4.1,4.4,1.7,319.2,72.59,506.67,25.1
115,울릉도,2019-06,18.6,21.7,981.9,1007.5,17,80,242,4,6.7,4.5,191.6,43.41,366.66,24.6
115,울릉도,2019-07,23.1,25.8,981.6,1006.8,24,86,105.8,4.3,6.2,4.3,217.5,48.47,377.25,26.9
115,울릉도,2019-08,25.4,28.1,982.3,1007.3,24.5,76,41,3.3,5.4,2.9,251.2,59.62,398.4,31.3
115,울릉도,2019-09,21,23.7,990.2,1015.7,19.6,77,256.2,3.7,7.1,4.3,159.1,42.6,264.74,23.1
115,울릉도,2019-10,15.9,18.6,992.1,1018.3,13.2,72,192.5,4.4,5.5,3.7,185.1,53.05,244.42,17
115,울릉도,2019-11,10.2,13.4,994.4,1021.2,8.4,66,121.2,3.8,6.5,4.8,116.3,38.02,128.18,9.7
115,울릉도,2019-12,5.9,8.9,995,1022.4,5.7,60,68.2,3.4,6.6,5.5,142.1,47.54,138.89,5.4
115,울릉도,2020-01,4.5,6.8,993.4,1020.9,5.8,68,112.9,4,7.7,6.6,94.8,30.86,117.91,3.6
115,울릉도,2020-02,4.4,7.3,994.9,1022.3,5.8,68,215.7,3.7,6.5,5.4,135.3,43.13,171.95,4.7
115,울릉도,2020-03,7.4,11.1,989.2,1016.2,7,67,65.5,4.1,4.7,3.5,212.4,57.19,516.73,8.7
115,울릉도,2020-04,10.4,14.5,988.6,1015.3,8.1,65,44.5,4.4,4.3,3.1,235.4,59.5,614.26,13.3
115,울릉도,2020-05,16.4,20.1,984,1010,13.4,74,124.6,3.8,5.8,3.8,242.7,55.11,669.99,19.6
115,울릉도,2020-06,21.5,24.9,980.9,1006.2,19,75,100.9,3.6,5.5,2.9,235.6,53.39,672.4,26.8
115,울릉도,2020-07,20.8,23.1,982.4,1007.8,22.6,92,308.2,2.9,7.8,6,108.2,24.15,432.17,23.1
115,울릉도,2020-08,25.7,28.6,983.9,1008.9,28.4,87,68.4,4.3,6.9,4.3,150.1,35.7,477.77,27.8
115,울릉도,2020-09,20,22.6,986.1,1011.6,19.3,82,110.8,4.8,6.4,4.2,151.7,40.72,434.8,21.5
115,울릉도,2020-10,15.3,18.3,992.9,1019.1,12.1,69,82.5,3.3,5.4,3.4,152.2,43.74,376.97,15.3
115,울릉도,2020-11,10.8,13.9,995.4,1022,9.1,67,118.8,3.2,5.3,3.9,131.6,43.09,264.81,10.1
115,울릉도,2020-12,4,6.7,994.3,1021.6,5.2,63,109.2,2.9,7.1,5.6,98.8,33.08,205.14,2.9
115,울릉도,2021-01,1.3,4.2,993.4,1021,4.9,70,105.9,3.4,7,5.9,94.5,30.7,196.35,1.7
115,울릉도,2021-02,4.6,8.1,990.8,1018,6.1,69,74.6,4.2,5.9,4.3,121.3,40.02,283.35,4.7
115,울릉도,2021-03,8.1,11.8,992.1,1018.9,7.9,72,59.3,4.1,5.2,3.2,179.1,48.22,467.59,9.5
115,울릉도,2021-04,11.6,16.1,991.7,1018.1,9.9,70,143.9,4.2,5,2.8,214.2,54.19,607.5,14.8
115,울릉도,2021-05,15.7,18.9,982.3,1008.1,13.1,74,92.2,3.8,5.7,3,201.4,45.76,584.7,18.4
